박물관명,추천코스명,전체 관람 시간,전시관명,전시실명,진열장 번호,유물명
국립중앙박물관,한국의 보물 ,75,역사의 길,역사의 길,1002-1,월광사원랑선사탑비
국립중앙박물관,한국의 보물 ,75,선사·고대관,청동기실(103호),1301-1,농경문 청동기
국립중앙박물관,한국의 보물 ,75,선사·고대관,고구려실(105호),1611-1,'호우' 글자가 있는 청동 그릇
국립중앙박물관,한국의 보물 ,75,선사·고대관,신라실(108호),1919-0,금목걸이
국립중앙박물관,한국의 보물 ,75,선사·고대관,통일신라실(111호),2110-1,함통6년명 금구
국립중앙박물관,한국의 보물 ,75,중·근세관,고려2실(116호),2401-1,최충헌 가족을 위한 호신용 경전과 경갑
국립중앙박물관,한국의 보물 ,75,중·근세관,고려2실(116호),2413-1,청녕사년명 동종
국립중앙박물관,한국의 보물 ,75,중·근세관,조선2실(118호),2511-11,봉사조선창화시권
국립중앙박물관,한국의 보물 ,75,중·근세관,조선2실(118호),2511-12,비해당소상팔경시첩
국립중앙박물관,한국의 보물 ,75,중·근세관,조선3실(119호),2525-2,화성성역의궤(정리자 인쇄본)
국립중앙박물관,한국의 보물 ,75,중·근세관,조선3실(119호),2535-2,대동여지도 목판
국립중앙박물관,한국의 보물 ,75,서화관,서화Ⅰ(201호),3105-1,태자사 낭공대사 비석
국립중앙박물관,한국의 보물 ,75,서화관,서화Ⅰ(201호),3107-1,흥법사 진공대사 비석
국립중앙박물관,한국의 보물 ,75,조각·공예관,불교조각실(301호),5105-1,부처
국립중앙박물관,한국의 보물 ,75,조각·공예관,불교조각실(301호),5118-3,부처
국립중앙박물관,한국의 보물 ,75,조각·공예관,불교조각실(301호),5122-1,약사불
국립중앙박물관,한국의 보물 ,75,조각·공예관,금속공예실(302호),5205-1,금관
국립중앙박물관,한국의 보물 ,75,조각·공예관,금속공예실(302호),5213-2,감은사 동탑 사리외함
국립중앙박물관,한국의 보물 ,75,조각·공예관,분청사기·백자실(304호·305호),5406-2,백자 병
국립중앙박물관,한국의 국보,57,선사·고대관,부여·삼한실(104호),1509-1,허리띠 고리
국립중앙박물관,한국의 국보,57,선사·고대관,신라실(108호),1914-1,관모와 관꾸미개
국립중앙박물관,한국의 국보,57,선사·고대관,신라실(108호),1917-2,굵은고리 귀걸이
국립중앙박물관,한국의 국보,57,선사·고대관,신라실(109·110호),1933-1,북한산 신라 진흥왕 순수비
국립중앙박물관,한국의 국보,57,역사의 길,역사의 길,1003-1,경천사십층석탑
국립중앙박물관,한국의 국보,57,사유의 방,사유의 방,8001-3,반가사유상
국립중앙박물관,한국의 국보,57,조각·공예관,불교조각실(301호),5103-1,감산사미륵보살과 아미타불
국립중앙박물관,한국의 국보,57,조각·공예관,불교조각실(301호),5119-1,연가 칠년이 새겨진 부처
국립중앙박물관,한국의 국보,57,조각·공예관,금속공예실(302호),5206-1,천흥사 종
국립중앙박물관,한국의 국보,57,조각·공예관,금속공예실(302호),5216-1,물가풍경무늬 정병
국립중앙박물관,한국의 국보,57,조각·공예관,청자실(303호),5305-1,청자 음각 연꽃 넝쿨무늬 매병
국립중앙박물관,한국의 국보,57,조각·공예관,청자실(303호),5352-1,청자 국화·넝쿨무늬 대접
국립중앙박물관,한국의 국보,57,조각·공예관,청자실(303호),5325-1,청자 모란무늬 항아리
국립중앙박물관,한국의 국보,57,조각·공예관,청자실(303호),5326-1,청자 버드나무무늬 통 모양 병
국립중앙박물관,한국의 국보,57,조각·공예관,분청사기·백자실(304호·305호),5406-8,분청사기 상감 인화 구름 용 무늬 항아리
국립중앙박물관,한국의 국보,57,조각·공예관,분청사기·백자실(304호·305호),5410-2,분청사기 박지 철채 모란무늬 자라병
국립중앙박물관,명품30선,88,선사·고대관,구석기실(101호),1101-1,주먹도끼
국립중앙박물관,명품30선,88,선사·고대관,신석기실(102호),1211-1,빗살무늬토기
국립중앙박물관,명품30선,88,선사·고대관,청동기실(103호),1301-1,농경문 청동기
국립중앙박물관,명품30선,88,선사·고대관,부여·삼한실(104호),1518-1,창원 다호리 1호 무덤 출토품
국립중앙박물관,명품30선,88,선사·고대관,고구려실(105호),1611-1,'호우' 글자가 있는 청동 그릇
국립중앙박물관,명품30선,88,선사·고대관,백제실(106호),1702-1,관 꾸미개(왕비)
국립중앙박물관,명품30선,88,선사·고대관,가야실(107호),1805-1,투구와 판갑옷
국립중앙박물관,명품30선,88,선사·고대관,신라실(108호),1914-2,금관과 금허리띠
국립중앙박물관,명품30선,88,역사의 길,역사의 길,1003-1,경천사십층석탑
국립중앙박물관,명품30선,88,선사·고대관,통일신라실(111호),2108-1,철불
국립중앙박물관,명품30선,88,중·근세관,고려2실(116호),2404-1,"재조본 『대반열반경』, 몽골군을 물리치려고 다시 새긴 대장경의 인쇄본"
국립중앙박물관,명품30선,88,중·근세관,조선2실(118호),2507-3,능엄경언해를 찍은 한글 활자
국립중앙박물관,명품30선,88,중·근세관,조선3실(119호),2528-1,외규장각의궤
국립중앙박물관,명품30선,88,중·근세관,조선3실(119호),2535-2,대동여지도 목판
국립중앙박물관,명품30선,88,중·근세관,대한제국실(120호),2602-5,칙명지보
국립중앙박물관,명품30선,88,사유의 방,사유의 방,8001-3,반가사유상
국립중앙박물관,명품30선,88,서화관,서화Ⅰ(201호),3105-1,태자사 낭공대사 비석
국립중앙박물관,명품30선,88,서화관,목칠공예(204호),3401-1,나전 칠 연꽃 넝쿨무늬 옷상자
국립중앙박물관,명품30선,88,조각·공예관,불교조각실(301호),5103-1,감산사미륵보살과 아미타불
국립중앙박물관,명품30선,88,조각·공예관,금속공예실(302호),5216-1,물가풍경무늬 정병
국립중앙박물관,명품30선,88,조각·공예관,청자실(303호),5309-1,청자 투각 칠보무늬 향로
국립중앙박물관,명품30선,88,조각·공예관,분청사기·백자실(304호·305호),5410-2,분청사기 박지 철채 모란무늬 자라병
국립중앙박물관,명품30선,88,조각·공예관,분청사기·백자실(304호·305호),5414-1,백자 달항아리
국립중앙박물관,명품30선,88,세계문화관,중앙아시아실(307호),6213-1,복희와 여와 그림
국립중앙박물관,명품30선,88,세계문화관,인도ㆍ동남아시아실(308호),6303-1,보살
국립중앙박물관,명품30선,88,세계문화관,중국실(309호),6420-11,꽃 과일무늬 주전자
국립중앙박물관,명품30선,88,세계문화관,일본실(310호),6510-1,겐지모노가타리 화첩
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,구석기실(101호),1101-1,주먹도끼
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,신석기실(102호),1211-1,빗살무늬토기
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,고조선실(103호),1402-1,한국식 동검
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,고조선실(103호),1406-1,청동 방울
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,고조선실(103호),1404-1,잔무늬 거울
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,부여·삼한실(104호),1504-1,수정 목걸이
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,고구려실(105호),1606-1,강서대묘
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,백제실(106호),1703-1,산수무늬벽돌
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,가야실(107호),1805-2,미늘쇠
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,신라실(108호),1914-2,금관과 금허리띠
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,신라실(108호),1922-1,신라토기
국립중앙박물관,한국 문화의 독창성 24선,72,선사·고대관,통일신라실(111호),2110-2,십이지상
국립중앙박물관,한국 문화의 독창성 24선,72,중·근세관,고려1실(113호),2316-1,숟가락
국립중앙박물관,한국 문화의 독창성 24선,72,중·근세관,조선2실(118호),2507-2,용비어천가(조선 왕조의 창업을 칭송한 노래)
국립중앙박물관,한국 문화의 독창성 24선,72,중·근세관,조선3실(119호),2528-1,외규장각의궤
국립중앙박물관,한국 문화의 독창성 24선,72,서화관,서화Ⅱ(202호),3205-1,어필석각
국립중앙박물관,한국 문화의 독창성 24선,72,서화관,목칠공예(204호),3408-1,화각 함
국립중앙박물관,한국 문화의 독창성 24선,72,조각·공예관,불교조각실(301호),5123-3,부처
국립중앙박물관,한국 문화의 독창성 24선,72,조각·공예관,금속공예실(302호),5206-1,천흥사 종
국립중앙박물관,한국 문화의 독창성 24선,72,조각·공예관,청자실(303호),5313-10,청자 상감·동화 모란무늬 매병
국립중앙박물관,한국 문화의 독창성 24선,72,조각·공예관,청자실(303호),5328-6,모란 버들 갈대무늬 매병
국립중앙박물관,한국 문화의 독창성 24선,72,조각·공예관,분청사기·백자실(304호·305호),5410-18,분청사기 조화 물고기무늬 장군
국립중앙박물관,한국 문화의 독창성 24선,72,조각·공예관,분청사기·백자실(304호·305호),5415-1,백자 철화 끈무늬 병
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,선사·고대관,구석기실(101호),1199-1,[촉각전시물] 주먹도끼
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,선사·고대관,고조선실(103호),1499-1,[촉각전시물] 돌칼과 요령식 동검
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,선사·고대관,부여·삼한실(104호),1599-1,[촉각전시물] 쇠투겁창
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,선사·고대관,백제실(106호),1799-1,[촉각전시물] 백제금동대향로
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,선사·고대관,가야실(107호),1899-1,[촉각전시물] 원통모양 그릇 받침
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,선사·고대관,신라실(109·110호),1999-1,[촉각전시물] 새모양 토기
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,메소포타미아실(306호),6799-1,[촉각전시물] 쐐기문자를 새긴 점토판
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,메소포타미아실(306호),6799-2,[촉각전시물] 조공 행렬에 선 외국인 마부
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,중앙아시아실(307호),6299-1,[촉각전시물] 여인
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,중앙아시아실(307호),6299-2,[촉각전시물] 사람 얼굴 조각
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,인도ㆍ동남아시아실(308호),6399-1,"[촉각전시물] 코끼리 얼굴을 한 신, 가네샤"
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,중국실(309호),6499-1,[촉각전시물] 매를 든 인물
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,중국실(309호),6499-2,[촉각전시물] 굽다리잔
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,일본실(310호),6599-1,[촉각전시물] 관음보살
국립중앙박물관,"손으로 느끼는 우리 문화, 세계 문화",45,세계문화관,일본실(310호),6599-2,[촉각전시물] 꽃병
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,메소포타미아실(306호),6716-1,채무 변제 증서와 보관함
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,메소포타미아실(306호),6726-2,이쉬타르 신상에 기도하는 장면을 새긴 원통형 인장
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,메소포타미아실(306호),6741-1,조공 행렬에 선 외국인 마부
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,메소포타미아실(306호),6746-1,사자 벽돌 패널
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,중앙아시아실(307호),6202-2,서원화
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,중앙아시아실(307호),6204-2,여인
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,인도ㆍ동남아시아실(308호),6302-2,"미투나, 사랑을 나누는 남녀"
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,인도ㆍ동남아시아실(308호),6303-1,보살
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,중국실(309호),6405-2,무덤을 지키는 괴수 도용
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,중국실(309호),6421-1,청화백자 길상무늬 납작병
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,일본실(310호),6502-2,여러 색 끈으로 엮은 도세구소쿠 갑옷
국립중앙박물관,한눈에 둘러보는 다양한 세계 문화,36,세계문화관,일본실(310호),6505-7,노 가면 고히메
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,구석기실(101호),1101-1,주먹도끼
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,신석기실(102호),1211-1,빗살무늬토기
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,청동기실(103호),1301-1,농경문 청동기
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,고구려실(105호),1611-1,'호우' 글자가 있는 청동 그릇
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,백제실(106호),1702-1,관 꾸미개(왕비)
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,가야실(107호),1805-1,투구와 판갑옷
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,신라실(108호),1914-2,금관과 금허리띠
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,신라실(108호),1909-1,말탄 사람토기1(국보91호)
국립중앙박물관,수어로 만나는 대표유물 16선,48,역사의 길,역사의 길,1003-1,경천사십층석탑
국립중앙박물관,수어로 만나는 대표유물 16선,48,선사·고대관,통일신라실(111호),2102-1,짐승 얼굴무늬 기와
국립중앙박물관,수어로 만나는 대표유물 16선,48,중·근세관,고려1실(113호),2301-1,청자로 만든 기와
국립중앙박물관,수어로 만나는 대표유물 16선,48,중·근세관,고려2실(116호),2403-0,금속으로 만든 고려의 활자
국립중앙박물관,수어로 만나는 대표유물 16선,48,중·근세관,조선2실(118호),2507-3,능엄경언해를 찍은 한글 활자
국립중앙박물관,수어로 만나는 대표유물 16선,48,중·근세관,조선3실(119호),2535-2,대동여지도 목판
국립중앙박물관,수어로 만나는 대표유물 16선,48,중·근세관,조선3실(119호),2528-1,외규장각의궤
국립중앙박물관,수어로 만나는 대표유물 16선,48,중·근세관,대한제국실(120호),2602-5,칙명지보
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,사비백제와 백제금동대향로,203-1,호자
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,사비백제와 백제금동대향로,206-9,은꽃모양 관꾸미개
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,사비백제와 백제금동대향로,208-1,백제금동대향로
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,사비백제와 백제금동대향로,209-1,창왕명석조사리감
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,사비백제와 백제금동대향로,214-14,연꽃무늬 수막새
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,사비백제와 백제금동대향로,216-1,사택지적비
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,백제의 불교문화,305-1,금동보살입상
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,백제의 불교문화,306-1,금동관음보살입상
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,백제의 불교문화,308-1,광배
국립부여박물관,국립부여박물관 대표 소장품 10선,36,상설전시관,백제의 불교문화,319-3,산수풍경무늬 벽돌
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,201-1,슴베찌르개
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,207-1,농경문청동기(복제품)
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,211-1,새모양토기
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,213-1,세발토기
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,218-1,금동관음보살입상(관음보살)
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,220-1,도제불상대좌
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,223-1,향로
국립공주박물관,충청남도 역사문화실,20,상설전시관2,충청남도 역사문화실,227-1,분청사기철화초문병(풀무늬병)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,105-1,은잔
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,102-1,묘지석(왕)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,103-1,묘지석(왕비)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,101-1,무덤을 지키는 상상의 동물
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,104-1,관꾸미개(왕)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,109-1,금뒤꽂이(왕)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,112-1,금귀걸이(왕비)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,113-1,글자를 새긴 용무늬 팔찌(왕비)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,116-1,금동신발(왕)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,117-1,금동신발(왕비)
국립공주박물관,웅진백제실,39,상설전시관1,웅진백제실,108-1,용·봉황무늬 고리자루큰칼(왕)
국립전주박물관,역사실,46,상설전시관1,역사실,101-1,여러 가지 뗀석기
국립전주박물관,역사실,46,상설전시관1,역사실,102-1,빗살무늬토기
국립전주박물관,역사실,46,상설전시관1,역사실,103-1,다양한 농기구
국립전주박물관,역사실,46,상설전시관1,역사실,104-1,간돌검
국립전주박물관,역사실,46,상설전시관1,역사실,105-1,장수 남양리 유적 출토 유물
국립전주박물관,역사실,46,상설전시관1,역사실,113-1,닭머리모양 청자항아리
국립전주박물관,역사실,46,상설전시관1,역사실,114-1,‘전주성’명 수막새
국립전주박물관,역사실,46,상설전시관1,역사실,116-1,긴목항아리와 그릇받침
국립전주박물관,역사실,46,상설전시관1,역사실,116-2,돌로 만든 모조품
국립전주박물관,역사실,46,상설전시관1,역사실,116-3,말모양 토제품
국립전주박물관,역사실,46,상설전시관1,역사실,119-1,금동신발
국립전주박물관,전주와조선왕실,22,상설전시관1,전주와 조선왕실,307-1,선원계보기략
국립전주박물관,전주와조선왕실,22,상설전시관1,전주와 조선왕실,303-1,어제수덕전편
국립전주박물관,전주와조선왕실,22,상설전시관1,전주와 조선왕실,305-1,조경단비 탑본
국립전주박물관,전주와조선왕실,22,상설전시관1,전주와 조선왕실,306-1,대한제국 국새
국립전주박물관,전주와조선왕실,22,상설전시관1,전주와 조선왕실,319-1,사랑방 가구
국립전주박물관,미술실,47,상설전시관1,미술공예실,204-1,전 남원 출토 사리장엄구 
국립전주박물관,미술실,47,상설전시관1,미술공예실,204-2,김제 대목리 출토 판불
국립전주박물관,미술실,47,상설전시관1,미술공예실,208-1,분청사기 물고기무늬 항아리
국립전주박물관,미술실,47,상설전시관1,미술공예실,208-2,관사명 인화분청사기
국립전주박물관,미술실,47,상설전시관1,미술공예실,206-2,전 낙수정 출토 범종
국립전주박물관,미술실,47,상설전시관1,미술공예실,215-1,고려백자( 백자 연꽃무늬 매병)
국립전주박물관,미술실,47,상설전시관1,미술공예실,214-1,고리무늬 청자의자
국립전주박물관,미술실,47,상설전시관1,미술공예실,213-1,청자 상감 용무늬 매병 
국립대구박물관,대구박물관 추천,21,상설전시관1,고대문화실,114-1,금동관
국립대구박물관,대구박물관 추천,21,상설전시관1,고대문화실,117-3,은제관꾸미개
